# name  true_label  pseudo_label  match  cifar_test_idx
0.png 9 9 True 50
1.png 8 8 True 54
2.png 3 3 True 68
3.png 2 2 True 75
4.png 1 1 True 81
5.png 0 0 True 90
6.png 6 6 True 102
7.png 9 9 True 133
8.png 7 7 True 137
9.png 9 9 True 157
10.png 8 8 True 214
11.png 0 0 True 215
12.png 0 0 True 237
13.png 0 0 True 257
14.png 3 3 True 271
15.png 1 1 True 308
16.png 6 6 True 334
17.png 9 9 True 335
18.png 0 0 True 338
19.png 8 8 True 358
20.png 8 8 True 362
21.png 1 1 True 369
22.png 7 7 True 375
23.png 8 8 True 408
24.png 3 3 True 418
25.png 9 9 True 451
26.png 3 4 False 456
27.png 5 5 True 510
28.png 8 8 True 516
29.png 1 1 True 546
30.png 2 2 True 569
31.png 0 0 True 581
32.png 6 6 True 593
33.png 8 8 True 612
34.png 1 1 True 619
35.png 9 9 True 644
36.png 9 9 True 733
37.png 4 4 True 737
38.png 4 4 True 769
39.png 2 2 True 799
40.png 3 5 False 811
41.png 8 8 True 852
42.png 1 1 True 869
43.png 0 0 True 885
44.png 4 4 True 930
45.png 9 9 True 940
46.png 0 0 True 946
47.png 3 3 True 948
48.png 7 7 True 958
49.png 6 6 True 976
50.png 8 8 True 1004
51.png 1 1 True 1021
52.png 3 3 True 1024
53.png 1 1 True 1048
54.png 0 0 True 1072
55.png 0 0 True 1078
56.png 9 9 True 1082
57.png 2 2 True 1099
58.png 5 5 True 1117
59.png 4 4 True 1128
60.png 3 3 True 1129
61.png 2 2 True 1148
62.png 7 7 True 1162
63.png 9 9 True 1175
64.png 3 3 True 1179
65.png 6 6 True 1195
66.png 5 5 True 1235
67.png 8 8 True 1259
68.png 3 3 True 1269
69.png 2 2 True 1278
70.png 7 7 True 1320
71.png 4 4 True 1324
72.png 1 1 True 1354
73.png 6 6 True 1381
74.png 6 6 True 1390
75.png 1 1 True 1413
76.png 4 4 True 1441
77.png 1 1 True 1444
78.png 7 7 True 1477
79.png 1 1 True 1500
80.png 0 0 True 1568
81.png 1 1 True 1621
82.png 9 9 True 1639
83.png 0 0 True 1652
84.png 1 1 True 1677
85.png 0 0 True 1694
86.png 9 9 True 1695
87.png 0 0 True 1712
88.png 3 3 True 1715
89.png 3 3 True 1733
90.png 6 6 True 1781
91.png 1 1 True 1784
92.png 3 3 True 1794
93.png 0 0 True 1796
94.png 9 9 True 1893
95.png 1 1 True 1907
96.png 5 5 True 1908
97.png 0 0 True 1912
98.png 9 9 True 1915
99.png 7 7 True 1941
100.png 2 2 True 1955
101.png 7 7 True 1956
102.png 2 2 True 1963
103.png 1 1 True 1970
104.png 6 6 True 1974
105.png 5 5 True 2017
106.png 5 5 True 2026
107.png 0 0 True 2040
108.png 3 3 True 2046
109.png 3 3 True 2049
110.png 6 6 True 2072
111.png 0 0 True 2113
112.png 9 9 True 2188
113.png 6 6 True 2197
114.png 9 9 True 2204
115.png 3 3 True 2230
116.png 0 0 True 2264
117.png 5 5 True 2277
118.png 9 9 True 2279
119.png 4 4 True 2280
120.png 5 5 True 2281
121.png 9 9 True 2290
122.png 6 6 True 2310
123.png 8 8 True 2356
124.png 5 5 True 2392
125.png 8 8 True 2429
126.png 3 3 True 2453
127.png 0 0 True 2507
128.png 0 0 True 2589
129.png 0 0 True 2594
130.png 1 1 True 2607
131.png 0 0 True 2614
132.png 3 3 True 2617
133.png 4 4 True 2653
134.png 6 6 True 2671
135.png 7 7 True 2677
136.png 0 0 True 2681
137.png 5 5 True 2716
138.png 7 7 True 2732
139.png 8 8 True 2737
140.png 7 7 True 2753
141.png 3 3 True 2775
142.png 7 7 True 2776
143.png 3 5 False 2779
144.png 7 7 True 2780
145.png 9 9 True 2789
146.png 9 9 True 2793
147.png 3 3 True 2832
148.png 2 2 True 2841
149.png 8 8 True 2870
150.png 1 1 True 2928
151.png 2 2 True 2955
152.png 2 2 True 2977
153.png 8 8 True 2994
154.png 6 6 True 3015
155.png 0 0 True 3063
156.png 7 7 True 3082
157.png 1 1 True 3091
158.png 7 7 True 3093
159.png 5 5 True 3137
160.png 1 1 True 3175
161.png 3 5 False 3180
162.png 3 3 True 3194
163.png 4 4 True 3203
164.png 7 7 True 3244
165.png 7 7 True 3266
166.png 7 7 True 3272
167.png 0 0 True 3278
168.png 0 0 True 3294
169.png 3 3 True 3324
170.png 6 6 True 3325
171.png 1 1 True 3341
172.png 2 2 True 3371
173.png 3 3 True 3391
174.png 0 0 True 3429
175.png 2 2 True 3453
176.png 3 3 True 3456
177.png 6 6 True 3563
178.png 0 0 True 3568
179.png 3 3 True 3617
180.png 3 3 True 3634
181.png 1 1 True 3678
182.png 2 2 True 3685
183.png 4 4 True 3692
184.png 3 6 False 3716
185.png 3 3 True 3752
186.png 2 2 True 3781
187.png 3 5 False 3799
188.png 0 0 True 3823
189.png 1 1 True 3826
190.png 2 2 True 3844
191.png 2 2 True 3863
192.png 7 7 True 3872
193.png 1 1 True 3891
194.png 9 9 True 3893
195.png 9 9 True 3911
196.png 8 8 True 3912
197.png 0 0 True 3965
198.png 0 0 True 3971
199.png 8 8 True 3974
200.png 6 6 True 4060
201.png 9 9 True 4070
202.png 0 0 True 4104
203.png 7 7 True 4105
204.png 1 1 True 4129
205.png 5 5 True 4182
206.png 7 7 True 4185
207.png 0 0 True 4187
208.png 0 0 True 4192
209.png 8 8 True 4196
210.png 9 9 True 4218
211.png 5 5 True 4241
212.png 6 6 True 4291
213.png 0 0 True 4305
214.png 1 1 True 4320
215.png 8 8 True 4370
216.png 1 1 True 4371
217.png 6 6 True 4384
218.png 8 8 True 4409
219.png 1 1 True 4424
220.png 1 1 True 4431
221.png 9 9 True 4439
222.png 1 1 True 4441
223.png 1 1 True 4476
224.png 9 9 True 4508
225.png 3 5 False 4547
226.png 3 3 True 4574
227.png 5 5 True 4587
228.png 1 1 True 4594
229.png 1 1 True 4611
230.png 3 3 True 4652
231.png 0 0 True 4667
232.png 4 4 True 4693
233.png 6 6 True 4700
234.png 9 9 True 4704
235.png 3 3 True 4708
236.png 7 7 True 4745
237.png 0 0 True 4748
238.png 9 9 True 4770
239.png 1 1 True 4895
240.png 6 6 True 4898
241.png 2 2 True 4899
242.png 7 7 True 4920
243.png 9 9 True 4945
244.png 9 9 True 4971
245.png 3 3 True 5029
246.png 0 0 True 5074
247.png 1 1 True 5079
248.png 1 1 True 5127
249.png 8 8 True 5138
250.png 0 0 True 5173
251.png 3 3 True 5204
252.png 2 2 True 5219
253.png 0 0 True 5223
254.png 2 2 True 5238
255.png 0 0 True 5242
256.png 7 7 True 5250
257.png 5 5 True 5352
258.png 0 0 True 5367
259.png 8 8 True 5383
260.png 9 9 True 5448
261.png 1 1 True 5480
262.png 1 1 True 5483
263.png 2 2 True 5492
264.png 0 0 True 5516
265.png 6 6 True 5536
266.png 9 9 True 5542
267.png 4 4 True 5557
268.png 6 6 True 5561
269.png 2 2 True 5589
270.png 8 8 True 5623
271.png 1 1 True 5624
272.png 3 3 True 5655
273.png 3 3 True 5681
274.png 5 5 True 5694
275.png 3 3 True 5700
276.png 5 5 True 5713
277.png 6 6 True 5715
278.png 6 6 True 5727
279.png 9 9 True 5737
280.png 3 3 True 5769
281.png 1 1 True 5783
282.png 6 6 True 5807
283.png 5 5 True 5816
284.png 3 3 True 5817
285.png 8 8 True 5836
286.png 4 4 True 5838
287.png 5 5 True 5846
288.png 4 4 True 5848
289.png 2 2 True 5859
290.png 7 7 True 5869
291.png 6 6 True 5911
292.png 1 1 True 5937
293.png 1 1 True 5970
294.png 5 5 True 6072
295.png 1 1 True 6080
296.png 0 0 True 6081
297.png 7 7 True 6089
298.png 1 1 True 6090
299.png 6 6 True 6098
300.png 1 1 True 6104
301.png 9 9 True 6114
302.png 1 1 True 6119
303.png 0 0 True 6157
304.png 3 3 True 6168
305.png 8 8 True 6179
306.png 8 8 True 6285
307.png 6 6 True 6314
308.png 2 2 True 6359
309.png 0 0 True 6363
310.png 8 8 True 6376
311.png 9 9 True 6377
312.png 8 8 True 6379
313.png 5 5 True 6389
314.png 2 2 True 6407
315.png 9 9 True 6409
316.png 7 7 True 6420
317.png 1 1 True 6426
318.png 2 2 True 6475
319.png 6 6 True 6483
320.png 7 7 True 6504
321.png 1 1 True 6552
322.png 6 6 True 6563
323.png 1 1 True 6566
324.png 9 9 True 6570
325.png 0 0 True 6663
326.png 5 5 True 6683
327.png 8 8 True 6684
328.png 9 9 True 6686
329.png 2 2 True 6713
330.png 9 9 True 6724
331.png 1 1 True 6817
332.png 8 8 True 6831
333.png 1 1 True 6841
334.png 4 4 True 6849
335.png 0 0 True 6872
336.png 5 5 True 6878
337.png 2 2 True 6880
338.png 0 0 True 6884
339.png 2 2 True 6905
340.png 2 2 True 6922
341.png 9 9 True 6936
342.png 0 0 True 6996
343.png 1 1 True 7001
344.png 3 4 False 7002
345.png 1 1 True 7008
346.png 2 2 True 7019
347.png 8 8 True 7106
348.png 9 9 True 7122
349.png 3 3 True 7145
350.png 7 7 True 7158
351.png 6 6 True 7159
352.png 9 9 True 7170
353.png 2 2 True 7171
354.png 2 2 True 7186
355.png 1 1 True 7199
356.png 3 3 True 7207
357.png 9 9 True 7218
358.png 7 7 True 7226
359.png 4 4 True 7264
360.png 1 9 False 7274
361.png 1 1 True 7276
362.png 1 1 True 7282
363.png 7 7 True 7288
364.png 0 0 True 7289
365.png 6 6 True 7305
366.png 3 3 True 7323
367.png 4 4 True 7335
368.png 6 6 True 7337
369.png 8 8 True 7361
370.png 1 1 True 7363
371.png 0 0 True 7402
372.png 8 8 True 7404
373.png 9 9 True 7448
374.png 8 8 True 7464
375.png 1 1 True 7473
376.png 1 1 True 7480
377.png 4 4 True 7481
378.png 3 3 True 7569
379.png 1 1 True 7573
380.png 9 9 True 7630
381.png 2 2 True 7664
382.png 6 6 True 7677
383.png 9 9 True 7686
384.png 6 6 True 7691
385.png 7 7 True 7693
386.png 5 5 True 7716
387.png 1 1 True 7728
388.png 7 7 True 7732
389.png 1 1 True 7734
390.png 0 0 True 7748
391.png 0 0 True 7754
392.png 9 9 True 7770
393.png 6 6 True 7788
394.png 8 8 True 7793
395.png 9 9 True 7824
396.png 8 8 True 7833
397.png 1 1 True 7894
398.png 2 2 True 7897
399.png 0 0 True 7900
400.png 2 2 True 7902
401.png 6 6 True 7919
402.png 1 1 True 7943
403.png 3 3 True 7961
404.png 1 1 True 7964
405.png 7 7 True 8050
406.png 5 5 True 8070
407.png 2 2 True 8085
408.png 9 9 True 8089
409.png 1 1 True 8097
410.png 1 1 True 8098
411.png 8 8 True 8132
412.png 3 3 True 8136
413.png 6 6 True 8168
